pictograph,primary,secondary,static_rot_angle
"Y_(o, 0, 3)","[60, -55]","[-40, -5]",
"Y_(o, 0.5, 0.5)","[15, 55]","[-85, -135]",
"Y_(o, 0.5, 1)","[65, 70]","[-95, 5]",
"Y_(o, 0.5, 1.5)","[20, 55]","[0, -20]",0.0
"Y_(o, 0.5, 2)","[50, 65]","[0, 0]",
"Y_(o, 0.5, 2.5)","[15, 55]","[-5, -45]",
"Y_(o, 0.5, 3)","[55, 65]","[-15, 0]",
"Y_(o, 1, 1)","[-40, -40]","[-105, -15]",
"Y_(o, 1, 2)","[-40, -55]","[-30, -5]",0.0
"Y_(o, 1, 2.5)","[-40, -70]","[0, -25]",
"Y_(o, 1, 3)","[-30, -40]","[-40, -10]",
"Y_(o, 1.5, 0.5)","[-5, 20]","[-105, -115]",
"Y_(o, 1.5, 1)","[-5, 15]","[-105, 5]",
"Y_(o, 1.5, 1.5)","[-5, 15]","[-5, 20]",
"Y_(o, 1.5, 2)","[-10, -35]","[0, 5]",0.0
"Y_(o, 1.5, 2.5)","[-15, 15]","[5, 40]",0.0
"Y_(o, 1.5, 3)","[-15, -30]","[-15, -10]",
"Y_(o, 2, 1)","[45, -45]","[-110, 5]",
"Y_(o, 2, 2)","[45, -40]","[-25, 0]",0.0
"Y_(o, 2, 3)","[45, -40]","[-35, 0]",
"Y_(o, 2.5, 0.5)","[35, 35]","[-100, -125]",
"Y_(o, 2.5, 1)","[80, 65]","[105, -5]",0.0
"Y_(o, 2.5, 1.5)","[70, 65]","[0, 15]",
"Y_(o, 2.5, 2)","[85, 65]","[0, 0]",
"Y_(o, 2.5, 2.5)","[50, 50]","[0, -40]",
"Y_(o, 2.5, 3)","[75, 65]","[-15, 0]",
"Y_(o, 3, 0.5)","[-65, -60]","[-100, -100]",
"Y_(o, 3, 1)","[-40, -30]","[-95, 5]",
"Y_(o, 3, 2)","[-40, -60]","[-15, -5]",0.0
"Y_(s, 0, 0.5)","[60, -55]","[-105, -105]",
"Y_(o, 3, 2.5)","[-50, -60]","[0, -25]",
"Y_(s, 3, 2.5)","[-60, -60]","[0, -25]",
"Y_(s, 3, 3)","[-45, -35]","[40, 0]",0.0
"Y_(o, 3, 3)","[-40, -15]","[-35, 0]",
"Y_(o, 0, 2.5)","[60, -55]","[-5, -25]",
"Y_(s, 1, 0.5)","[-55, -60]","[105, 95]",0.0
"Y_(o, 1, 0.5)","[-40, -60]","[-100, -100]",
"Y_(o, 1, 1.5)","[-45, -60]","[0, 0]",
"Y_(o, 3, 1.5)","[-40, -60]","[0, 0]",
"X_(s, 0.5, 0.5)","[-90, 65]","[-125, -70]",
"X_(s, 2.5, 0.5)","[-90, 65]","[-120, -75]",
