pictograph,primary,secondary,static_rot_angle
"N_(0.5, 0.5)","[-100, 15]","[-100, 15]",
"N_(2.5, 2.5)","[-90, 10]","[-90, 10]",
"N_(2.5, 0.5)","[-90, 10]","[-90, 10]",
"N_(2.5, 1.5)","[-15, 80]","[-80, 55]",
"N_(0.5, 2.5)","[-75, 35]","[-85, 35]",
"N_(2.5, 1)","[45, -55]","[-75, 50]",
"P_(0, 0)","[50, -40]","[110, -85]",
"P_(0, 0.5)","[0, 70]","[50, -55]",
"P_(0, 1)","[-30, -5]","[70, -50]",
"P_(0, 1.5)","[15, 45]","[70, -80]",
"P_(0, 2)","[40, -80]","[55, -85]",
"P_(0, 2.5)","[5, 50]","[65, -80]",
"P_(0, 3)","[-55, -25]","[70, -65]",
"P_(0.5, 0)","[50, -50]","[0, 70]",
"P_(0.5, 0.5)","[5, 30]","[5, 30]",
"P_(0.5, 1)","[-20, -5]","[5, 85]",
"P_(0.5, 1.5)","[-10, 40]","[15, 40]",
"P_(0.5, 2)","[90, -60]","[20, 90]",
"P_(0.5, 2.5)","[55, 65]","[0, 60]",
"P_(0.5, 3)","[35, -25]","[20, 65]",
"P_(1, 0)","[70, -50]","[-30, -5]",
"P_(1, 0.5)","[5, 85]","[-20, -5]",
"P_(1, 1)","[-55, -50]","[-55, -50]",
"P_(1, 1.5)","[-10, 45]","[-10, -10]",
"P_(1, 2)","[60, -75]","[-35, -15]",
"P_(1, 2.5)","[-10, 25]","[-40, -5]",
"P_(1, 3)","[-55, -50]","[-55, -50]",
"P_(1.5, 0)","[70, -80]","[15, 45]",
"P_(1.5, 0.5)","[15, 40]","[-10, 40]",
"P_(1.5, 1)","[-10, -10]","[-10, 45]",
"P_(1.5, 1.5)","[10, 40]","[10, 40]",
"P_(1.5, 2)","[105, -75]","[5, 45]",
"P_(1.5, 2.5)","[5, 0]","[5, 20]",
"P_(1.5, 3)","[35, 0]","[5, 35]",
"P_(2, 0)","[90, -85]","[35, -25]",
"P_(2, 0.5)","[20, 90]","[90, -60]",
"P_(2, 1)","[-35, -15]","[65, -80]",
"P_(2, 1.5)","[5, 45]","[105, -75]",
"P_(2, 2)","[35, -30]","[115, -90]",
"P_(2, 2.5)","[15, 55]","[105, -90]",
"P_(2, 3)","[-45, -30]","[80, -60]",
"P_(2.5, 0)","[80, -80]","[5, 45]",
"P_(2.5, 0.5)","[0, 60]","[55, 65]",
"P_(2.5, 1)","[-40, -5]","[-10, 25]",
"P_(2.5, 1.5)","[5, 20]","[5, 0]",
"P_(2.5, 2)","[105, -90]","[15, 55]",
"P_(2.5, 2.5)","[5, -5]","[5, -5]",
"P_(2.5, 3)","[25, 10]","[25, -20]",
"P_(3, 0)","[85, -65]","[-55, -25]",
"P_(3, 0.5)","[20, 65]","[35, -25]",
"P_(3, 1)","[-55, -50]","[-55, -50]",
"P_(3, 1.5)","[5, 35]","[65, -15]",
"P_(3, 2)","[80, -60]","[-45, -30]",
"P_(3, 2.5)","[25, -20]","[25, 10]",
"P_(3, 3)","[-55, -50]","[-55, -50]",
"Q_(0, 0)","[115, -70]","[35, -35]",
"Q_(0, 0.5)","[-140, 80]","[20, -25]",
"Q_(0, 1)","[115, -70]","[35, -35]",
"Q_(0, 1.5)","[5, 45]","[100, -65]",
"Q_(0, 2)","[115, -70]","[35, -35]",
"Q_(0, 2.5)","[-75, 130]","[95, -60]",
"Q_(0, 3)","[115, -70]","[35, -35]",
"Q_(0.5, 0)","[20, -25]","[-140, 80]",
"Q_(0.5, 0.5)","[-90, 70]","[-90, 70]",
"Q_(0.5, 1)","[40, -45]","[-150, 80]",
"Q_(0.5, 1.5)","[-10, 85]","[-90, 70]",
"Q_(0.5, 2)","[40, -45]","[-140, 80]",
"Q_(0.5, 2.5)","[-110, 110]","[-105, 80]",
"Q_(0.5, 3)","[40, -45]","[-140, 80]",
"Q_(1, 0)","[35, -35]","[115, -70]",
"Q_(1, 0.5)","[-140, 80]","[40, -45]",
"Q_(1, 1)","[115, -70]","[35, -35]",
"Q_(1, 1.5)","[5, 45]","[100, -65]",
"Q_(1, 2)","[115, -70]","[35, -35]",
"Q_(1, 2.5)","[-70, 50]","[50, -45]",
"Q_(1, 3)","[115, -70]","[35, -35]",
"Q_(1.5, 0)","[100, -65]","[5, 45]",
"Q_(1.5, 0.5)","[-90, 70]","[-10, 85]",
"Q_(1.5, 1)","[100, -65]","[5, 45]",
"Q_(1.5, 1.5)","[10, 40]","[10, 40]",
"Q_(1.5, 2)","[60, -75]","[5, 45]",
"Q_(1.5, 2.5)","[-85, 60]","[-10, 50]",
"Q_(1.5, 3)","[65, -70]","[10, 55]",
"Q_(2, 0)","[25, -40]","[115, -70]",
"Q_(2, 0.5)","[-140, 80]","[40, -45]",
"Q_(2, 1)","[35, -35]","[115, -70]",
"Q_(2, 1.5)","[5, 45]","[60, -75]",
"Q_(2, 2)","[115, -70]","[35, -35]",
"Q_(2, 2.5)","[-150, 100]","[40, -50]",
"Q_(2, 3)","[35, -30]","[110, -65]",
"Q_(2.5, 0)","[95, -60]","[-75, 130]",
"Q_(2.5, 0.5)","[-105, 80]","[-110, 110]",
"Q_(2.5, 1)","[50, -45]","[-70, 50]",
"Q_(2.5, 1.5)","[-10, 50]","[-80, 60]",
"Q_(2.5, 2)","[40, -50]","[-150, 100]",
"Q_(2.5, 2.5)","[-85, 15]","[-85, 15]",
"Q_(2.5, 3)","[45, -55]","[-155, 70]",
"Q_(3, 0)","[35, -35]","[115, -70]",
"Q_(3, 0.5)","[-140, 80]","[40, -45]",
"Q_(3, 1)","[35, -35]","[115, -70]",
"Q_(3, 1.5)","[10, 55]","[65, -70]",
"Q_(3, 2)","[35, -35]","[115, -70]",
"Q_(3, 2.5)","[-155, 70]","[45, -55]",
"Q_(3, 3)","[35, -35]","[115, -70]",
"A_(0, 0)","[60, -55]","[60, -55]",
"I_(0, 0)","[45, -100]","[5, -40]"
"I_(0, 0.5)","[35, -40]","[-110, 120]"
"I_(0, 1)","[20, -35]","[85, -120]"
"I_(0, 1.5)","[40, -45]","[-15, 75]"
"I_(0, 2)","[60, -90]","[25, -40]"
"I_(0, 2.5)","[40, -40]","[-110, 95]"
"I_(0, 3)","[40, -45]","[115, -110]"
"I_(0.5, 0)","[-20, 60]","[35, -90]"
"I_(0.5, 0.5)","[5, 40]","[-115, 60]"
"I_(0.5, 1)","[-20, 55]","[50, -75]"
"I_(0.5, 1.5)","[30, 75]","[-5, 70]"
"I_(0.5, 2)","[-15, 60]","[65, -50]"
"I_(0.5, 2.5)","[5, 55]","[-110, 60]"
"I_(0.5, 3)","[-10, 60]","[60, -45]"
"I_(1, 0)","[-40, -35]","[70, -65]"
"I_(1, 0.5)","[-45, -60]","[-115, 120]"
"I_(1, 1)","[-50, -40]","[30, -55]"
"I_(1, 1.5)","[-50, -60]","[-25, 90]"
"I_(1, 2)","[-45, -35]","[95, -55]"
"I_(1, 2.5)","[-35, -5]","[-125, 90]"
"I_(1, 3)","[-50, -30]","[70, -65]"
"I_(1.5, 0)","[-5, 15]","[60, -80]"
"I_(1.5, 0.5)","[-20, 5]","[-130, 90]"
"I_(1.5, 1)","[0, 30]","[65, -100]"
"I_(1.5, 1.5)","[-30, 35]","[35, 80]"
"I_(1.5, 2)","[-5, 30]","[50, -100]"
"I_(1.5, 2.5)","[-5, 10]","[-115, 70]"
"I_(1.5, 3)","[0, 40]","[55, -80]"
"I_(2, 0)","[55, -95]","[25, -40]"
"I_(2, 0.5)","[45, -45]","[-120, 115]"
"I_(2, 1)","[70, -110]","[10, -40]"
"I_(2, 1.5)","[50, -40]","[-10, 50]"
"I_(2, 2)","[80, -100]","[40, -45]"
"I_(2, 2.5)","[-10, 50]","[65, -80]"
"I_(2, 3)","[100, -85]","[25, -40]"
"I_(2.5, 0)","[-5, 65]","[-35, 0]"
"I_(2.5, 0.5)","[5, 55]","[-110, 60]"
"I_(2.5, 1)","[-5, 65]","[55, -80]"
"I_(2.5, 1.5)","[60, 65]","[20, 60]"
"I_(2.5, 2)","[-10, 50]","[65, -80]"
"I_(2.5, 2.5)","[25, 45]","[-115, 60]"
"I_(2.5, 3)","[5, 65]","[70, -65]"
"I_(3, 0)","[-55, -25]","[115, -35]"
"I_(3, 0.5)","[-20, -65]","[-120, 80]"
"I_(3, 1)","[-50, -35]","[100, -65]"
"I_(3, 1.5)","[-50, -70]","[-20, 85]"
"I_(3, 2)","[-45, -30]","[100, -60]"
"I_(3, 2.5)","[-55, -20]","[-130, 75]"
"I_(3, 3)","[-55, -25]","[70, -75]"
"R_(0, 0)","[95, -60]","[25, -30]"
"R_(0, 0.5)","[35, -25]","[-155, 100]"
"R_(0, 1)","[95, -60]","[30, -35]"
"R_(0, 1.5)","[40, -45]","[0, 80]"
"R_(0, 2)","[90, -70]","[40, -35]"
"R_(0, 2.5)","[35, -35]","[-70, 25]"
"R_(0, 3)","[95, -60]","[35, -35]"
"R_(0.5, 0)","[10, 85]","[95, -135]"
"R_(0.5, 0.5)","[-15, 60]","[-95, 75]"
"R_(0.5, 1)","[0, 80]","[50, -75]"
"R_(0.5, 1.5)","[30, 75]","[-5, 70]"
"R_(0.5, 2)","[-5, 80]","[35, -75]"
"R_(0.5, 2.5)","[5, 55]","[-100, 115]"
"R_(0.5, 3)","[25, 60]","[90, -60]"
"R_(1, 0)","[-40, 0]","[70, -40]"
"R_(1, 0.5)","[-40, 0]","[-145, 120]"
"R_(1, 1)","[-50, -40]","[30, -55]"
"R_(1, 1.5)","[-50, -60]","[-25, 90]"
"R_(1, 2)","[-40, -5]","[70, -65]"
"R_(1, 2.5)","[-35, -5]","[-155, 95]"
"R_(1, 3)","[-30, -25]","[75, -85]"
"R_(1.5, 0)","[-15, 40]","[95, -65]"
"R_(1.5, 0.5)","[-20, 5]","[-155, 90]"
"R_(1.5, 1)","[0, 30]","[65, -100]"
"R_(1.5, 1.5)","[-30, 35]","[35, 80]"
"R_(1.5, 2)","[-5, 40]","[65, -85]"
"R_(1.5, 2.5)","[-5, 10]","[-95, 20]"
"R_(1.5, 3)","[0, 40]","[65, -80]"
"R_(2, 0)","[90, -65]","[30, -40]"
"R_(2, 0.5)","[45, -45]","[-150, 105]"
"R_(2, 1)","[70, -110]","[10, -40]"
"R_(2, 1.5)","[50, -40]","[-10, 50]"
"R_(2, 2)","[85, -45]","[20, -25]"
"R_(2, 2.5)","[50, -55]","[-155, 95]"
"R_(2, 3)","[115, -80]","[30, -25]"
"R_(2.5, 0)","[15, 45]","[-35, 0]"
"R_(2.5, 0.5)","[45, 65]","[-95, 70]"
"R_(2.5, 1)","[-5, 65]","[55, -80]"
"R_(2.5, 1.5)","[60, 65]","[20, 60]"
"R_(2.5, 2)","[10, 50]","[95, -80]"
"R_(2.5, 2.5)","[25, 45]","[-110, 105]"
"R_(2.5, 3)","[10, 50]","[100, -80]"
"R_(3, 0)","[-40, -5]","[35, -115]"
"R_(3, 0.5)","[40, -5]","[-125, 115]"
"R_(3, 1)","[-50, -35]","[100, -65]"
"R_(3, 1.5)","[-50, -70]","[-20, 85]"
"R_(3, 2)","[-35, -10]","[85, -65]"
"R_(3, 2.5)","[-55, -20]","[-155, 95]"
"R_(3, 3)","[-55, -25]","[70, -75]"
"S_(0, 0)","[60, -55, 0, -5]","[60, -55]",
"S_(0, 0.5)","[40, -40]","[-5, 45]"
"S_(0, 1)","[50, -50]","[-50, -15]"
"S_(0, 1.5)","[50, -50]","[0, 25]"
"S_(0, 2)","[50, -50]","[50, -50]"
"S_(0, 2.5)","[50, -50]","[15, 40]"
"S_(0, 3)","[50, -50]","[-35, -15]"
"S_(0.5, 0)","[0, 20]","[45, -50]"
"S_(0.5, 0.5)","[0, 20]","[0, 20]"
"S_(0.5, 1)","[0, 20]","[-50, -15]"
"S_(0.5, 1.5)","[0, 20]","[0, 25]"
"S_(0.5, 2)","[0, 20]","[50, -50]"
"S_(0.5, 2.5)","[0, 20]","[15, 40]"
"S_(0.5, 3)","[0, 20]","[-35, -15]"
"S_(1, 0)","[-50, -15]","[50, -50]"
"S_(1, 0.5)","[-15, 0]","[0, 20]"
"S_(1, 1)","[-30, -15]","[-30, -15]"
"S_(1, 1.5)","[-15, 0]","[0, 25]"
"S_(1, 2)","[-30, -15]","[50, -50]"
"S_(1, 2.5)","[-15, -15]","[15, 40]"
"S_(1, 3)","[-30, -15]","[-35, -15]"
"S_(1.5, 0)","[0, 25]","[50, -50]"
"S_(1.5, 0.5)","[0, 25]","[5, 45]"
"S_(1.5, 1)","[0, 25]","[-50, -15]"
"S_(1.5, 1.5)","[0, 25]","[0, 25]"
"S_(1.5, 2)","[0, 25]","[50, -50]"
"S_(1.5, 2.5)","[0, 25]","[15, 40]"
"S_(1.5, 3)","[0, 25]","[-35, -15]"
"S_(2, 0)","[50, -50]","[50, -50]"
"S_(2, 0.5)","[50, -50]","[5, 45]"
"S_(2, 1)","[50, -50]","[-50, -15]"
"S_(2, 1.5)","[50, -50]","[0, 25]"
"S_(2, 2)","[50, -50]","[50, -50]"
"S_(2, 2.5)","[50, -50]","[15, 40]"
"S_(2, 3)","[50, -50]","[-35, -15]"
"S_(2.5, 0)","[15, 40]","[50, -50]"
"S_(2.5, 0.5)","[45, 40]","[-5, 50]"
"S_(2.5, 1)","[15, 40]","[-50, -15]"
"S_(2.5, 1.5)","[45, 40]","[15, 40]"
"S_(2.5, 2)","[15, 40]","[50, -50]"
"S_(2.5, 2.5)","[45, 40]","[10, 60]"
"S_(2.5, 3)","[15, 40]","[-35, -15]"
"S_(3, 0)","[-35, -15]","[50, -50]"
"S_(3, 0.5)","[40, 0]","[5, 45]"
"S_(3, 1)","[-35, -15]","[-50, -15]"
"S_(3, 1.5)","[40, 0]","[0, 25]"
"S_(3, 2)","[-35, -15]","[50, -50]"
"S_(3, 2.5)","[40, 0]","[15, 40]"
"S_(3, 3)","[-35, -15]","[-55, -25]"
"T_(0, 0)","[40, -40]","[40, -40]"
"T_(0, 0.5)","[95, -90]","[-85, 60]"
"T_(0, 1)","[40, -40]","[40, -40]"
"T_(0, 1.5)","[95, -90]","[-25, 80]"
"T_(0, 2)","[40, -40]","[40, -40]"
"T_(0, 2.5)","[95, -90]","[-85, 60]"
"T_(0, 3)","[40, -40]","[40, -40]"
"T_(0.5, 0)","[-150, 105]","[40, -40]"
"T_(0.5, 0.5)","[-85, 60]","[-85, 60]"
"T_(0.5, 1)","[-150, 105]","[40, -40]"
"T_(0.5, 1.5)","[-85, 60]","[-25, 80]"
"T_(0.5, 2)","[-150, 105]","[40, -40]"
"T_(0.5, 2.5)","[-85, 60]","[-80, 60]"
"T_(0.5, 3)","[-150, 105]","[40, -40]"
"T_(1, 0)","[40, -40]","[40, -40]"
"T_(1, 0.5)","[40, -40]","[-85, 60]"
"T_(1, 1)","[40, -40]","[40, -40]"
"T_(1, 1.5)","[40, -40]","[-25, 80]"
"T_(1, 2)","[40, -40]","[40, -40]"
"T_(1, 2.5)","[40, -40]","[-80, 60]"
"T_(1, 3)","[40, -40]","[40, -40]"
"T_(1.5, 0)","[-5, 80]","[40, -40]"
"T_(1.5, 0.5)","[-25, 80]","[-85, 65]"
"T_(1.5, 1)","[-5, 80]","[40, -40]"
"T_(1.5, 1.5)","[-25, 80]","[-25, 80]"
"T_(1.5, 2)","[-5, 80]","[40, -40]"
"T_(1.5, 2.5)","[-25, 80]","[-80, 60]"
"T_(1.5, 3)","[-5, 80]","[40, -40]"
"T_(2, 0)","[40, -40]","[40, -40]"
"T_(2, 0.5)","[40, -40]","[-85, 60]"
"T_(2, 1)","[40, -40]","[40, -40]"
"T_(2, 1.5)","[40, -40]","[-25, 80]"
"T_(2, 2)","[40, -40]","[40, -40]"
"T_(2, 2.5)","[40, -40]","[-85, 60]"
"T_(2, 3)","[40, -40]","[40, -40]"
"T_(2.5, 0)","[-70, 25]","[40, -40]"
"T_(2.5, 0.5)","[-75, 25]","[-85, 60]"
"T_(2.5, 1)","[-70, 25]","[40, -40]"
"T_(2.5, 1.5)","[-70, 0]","[-25, 80]"
"T_(2.5, 2)","[-70, 25]","[40, -40]"
"T_(2.5, 2.5)","[-85, 25]","[-75, 60]"
"T_(2.5, 3)","[-70, 25]","[40, -40]"
"T_(3, 0)","[40, -40]","[40, -40]"
"T_(3, 0.5)","[40, -40]","[-85, 60]"
"T_(3, 1)","[40, -40]","[40, -40]"
"T_(3, 1.5)","[40, -40]","[-25, 80]"
"T_(3, 2)","[40, -40]","[40, -40]"
"T_(3, 2.5)","[40, -40]","[-85, 60]"
"T_(3, 3)","[40, -40]","[40, -40]"
"U_(1, 0.5)","[30, -10]","[-80, 55]"
"U_(1, 1.5)","[40, -5]","[-20, 70]"
"U_(1, 2.5)","[30, -5]","[-80, 55]"
"U_(1.5, 0.5)","[20, 40]","[-85, 55]"
"U_(1.5, 2.5)","[15, 35]","[-70, 40]"
"U_(2, 0.5)","[60, -60]","[-80, 55]"
"U_(2, 1.5)","[60, -60]","[-20, 70]"
"U_(2, 2.5)","[60, -60]","[-80, 55]"
"U_(2.5, 1.5)","[40, -5]","[-25, 85]"
"U_(3, 0.5)","[40, -5]","[-80, 55]"
"U_(3, 1.5)","[40, -5]","[-20, 70]"
"U_(3, 2.5)","[40, -5]","[-80, 55]"
"V_(0, 0.5)","[45, -55]","[-140, 100]"
"V_(0, 1.5)","[45, -55]","[0, 55]"
"V_(0, 2.5)","[45, -55]","[-70, 10]"
"V_(0.5, 0)","[0, 25]","[105, -70]"
"V_(0.5, 0.5)","[5, 85]","[-95, 100]"
"V_(0.5, 1)","[0, 25]","[45, -55]"
"V_(0.5, 2)","[-5, 25]","[45, -55]"
"V_(0.5, 2.5)","[-15, -15]","[-70, 5]"
"V_(0.5, 3)","[0, 25]","[55, -50]"
"V_(1, 0.5)","[-45, -50]","[-140, 100]"
"V_(1, 1.5)","[-45, -50]","[0, 55]"
"V_(1, 2.5)","[-45, -50]","[-70, 5]"
"V_(1.5, 0)","[0, 25]","[105, -70]"
"V_(1.5, 1.5)","[-15, -15]","[10, 70]"
"V_(1.5, 2.5)","[-15, -20]","[-70, 5]"
"V_(2, 0.5)","[45, -50]","[-140, 100]"
"V_(2, 1.5)","[45, -50]","[0, 55]"
"V_(2, 2.5)","[45, -50]","[-70, 5]"
"V_(2.5, 0)","[15, 40]","[105, -70]"
"V_(2.5, 0.5)","[35, 60]","[-95, 100]"
"V_(2.5, 1.5)","[15, 50]","[-30, 80]"
"V_(2.5, 2.5)","[5, -20]","[-70, 5]"
"V_(3, 0.5)","[-40, -15]","[-140, 100]"
"V_(3, 1.5)","[-40, -15]","[0, 55]"
"V_(3, 2.5)","[-40, -15]","[-70, 5]"
"W_(o, 0, 0.5)","[60, -55]","[-100, -100]",
"Y_(0.5, 0)","[50, 60]","[0, 0]",
"Y_(1, 0)","[-35, -40]","[0, 0]",
"Y_(1.5, 0)","[-5, 10]","[0, 0]",
"Y_(2, 0)","[40, -40]","[0, 0]",
"Y_(2.5, 0)","[65, 60]","[0, 0]",
"Y_(3, 0)","[-45, -30]","[0, 0]",
"Y_(s, 0, 1)","[60, -55]","[105, -15]",0.0
"Y_(s, 0, 2)","[60, -55]","[20, 0]",
"Y_(s, 0, 3)","[60, -55]","[40, 5]",0.0
"Y_(s, 0.5, 0.5)","[15, 55]","[-95, -130]",
"Y_(s, 0.5, 1)","[45, 90]","[115, -20]",0.0
"Y_(s, 0.5, 1.5)","[25, 45]","[0, -20]",0.0
"Y_(s, 0.5, 2)","[50, 60]","[0, 0]",
"Y_(s, 0.5, 2.5)","[15, 65]","[0, -45]",
"Y_(s, 0.5, 3)","[60, 60]","[-15, 0]",
"Y_(s, 1, 1)","[-40, -40]","[105, -15]",0.0
"Y_(s, 1, 1.5)","[-50, -65]","[0, 0]",
"Y_(s, 1, 2)","[-40, -55]","[25, 0]",
"Y_(s, 1, 2.5)","[-40, -75]","[0, -25]",
"Y_(s, 1, 3)","[-35, -35]","[40, -10]",0.0
"Y_(s, 1.5, 0.5)","[-20, 15]","[-100, -115]",
"Y_(s, 1.5, 1)","[-5, 15]","[130, -15]",0.0
"Y_(s, 1.5, 1.5)","[-15, 15]","[15, 25]",
"Y_(s, 1.5, 2)","[-5, -35]","[5, -5]",
"Y_(s, 1.5, 2.5)","[-30, -40]","[0, 45]",0.0
"Y_(s, 1.5, 3)","[-20, -30]","[15, 0]",0.0
"Y_(s, 2, 0.5)","[40, -40]","[110, 95]",0.0
"Y_(s, 2, 1)","[45, -40]","[105, -15]",0.0
"Y_(s, 2, 2)","[45, -40]","[25, 0]",
"Y_(s, 2, 3)","[45, -40]","[35, 0]",0.0
"Y_(s, 2.5, 0.5)","[35, 35]","[-100, -125]",
"Y_(s, 2.5, 1)","[75, 65]","[115, -25]",0.0
"Y_(s, 2.5, 1.5)","[80, 60]","[0, 25]",
"Y_(s, 2.5, 2)","[75, 50]","[0, 0]",
"Y_(s, 2.5, 2.5)","[60, 35]","[0, -40]",
"Y_(s, 2.5, 3)","[70, 70]","[-15, 0]",
"Y_(s, 3, 0.5)","[-55, -60]","[110, 100]",0.0
"Y_(s, 3, 1)","[-40, -45]","[115, -15]",0.0
"Y_(s, 3, 1.5)","[-40, -60]","[0, 0]",
"Y_(s, 3, 2)","[-40, -60]","[20, 0]",
"Y_(o, 0, 1)","[60, -55]","[-110, 15]",
"Y_(o, 0, 1.5)","[60, -55]","[-5, 0]",
"Y_(o, 0, 2)","[60, -55]","[-30, 5]",0.0
