letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
α,alpha1,alpha1,static,None,s,s,static,None,n,n
α,alpha2,alpha2,static,None,w,w,static,None,e,e
α,alpha3,alpha3,static,None,n,n,static,None,s,s
α,alpha4,alpha4,static,None,e,e,static,None,w,w
