letter,blue_color,blue_motion_type,blue_rotation_direction,blue_start_location,blue_end_location,blue_turns,blue_start_orientation,blue_end_orientation,red_color,red_motion_type,red_rotation_direction,red_start_location,red_end_location,red_turns,red_start_orientation,red_end_orientation,blue_optimal_location_x,blue_optimal_location_y,red_optimal_location_x,red_optimal_location_y
X,blue,anti,cw,s,e,0,in,out,red,static,None,w,w,0,in,out,,,,
X,blue,static,None,n,n,0,in,out,red,anti,ccw,e,s,0,in,out,,,,
X,blue,static,None,s,s,0,in,out,red,anti,cw,e,n,0,in,out,,,,
X,blue,static,None,e,e,0,in,out,red,anti,ccw,s,w,0,in,out,,,,
X,blue,static,None,n,n,0,in,out,red,anti,cw,w,s,0,in,out,,,,
Y,blue,pro,ccw,n,w,0,in,out,red,static,None,w,w,0,in,out,,,,
Y,red,pro,cw,e,s,0,in,out,blue,static,None,s,s,0,in,out,,,,
Y,red,pro,cw,s,w,0,in,out,blue,static,None,w,w,0,in,out,,,,
Y,red,pro,cw,w,n,0,in,out,blue,static,None,n,n,0,in,out,,,,
Y,red,pro,ccw,e,n,0,in,out,blue,static,None,n,n,0,in,out,,,,
Y,red,pro,ccw,w,s,0,in,out,blue,static,None,s,s,0,in,out,,,,
Y,red,pro,ccw,s,e,0,in,out,blue,static,None,e,e,0,in,out,,,,
Y,red,pro,ccw,n,w,0,in,out,blue,static,None,w,w,0,in,out,,,,
Y,red,pro,cw,n,e,0,in,out,blue,static,None,e,e,0,in,out,,,,
Y,blue,pro,ccw,e,n,0,in,out,red,static,None,n,n,0,in,out,,,,
Y,blue,pro,ccw,w,s,0,in,out,red,static,None,s,s,0,in,out,,,,
Y,blue,pro,cw,s,w,0,in,out,red,static,None,w,w,0,in,out,,,,
Y,blue,pro,cw,e,s,0,in,out,red,static,None,s,s,0,in,out,,,,
Y,blue,pro,cw,n,e,0,in,out,red,static,None,e,e,0,in,out,,,,
Y,blue,pro,ccw,s,e,0,in,out,red,static,None,e,e,0,in,out,,,,
Y,blue,pro,cw,w,n,0,in,out,red,static,None,n,n,0,in,out,,,,
Z,blue,static,None,w,w,0,in,out,red,anti,cw,n,w,0,in,out,,,,
Z,blue,static,None,n,n,0,in,out,red,anti,cw,e,n,0,in,out,,,,
Z,blue,static,None,e,e,0,in,out,red,anti,cw,s,e,0,in,out,,,,
Z,blue,anti,ccw,e,s,0,in,out,red,static,None,s,s,0,in,out,,,,
Z,blue,static,None,s,s,0,in,out,red,anti,cw,w,s,0,in,out,,,,
Z,blue,static,None,e,e,0,in,out,red,anti,ccw,n,e,0,in,out,,,,
Z,blue,anti,cw,s,e,0,in,out,red,static,None,e,e,0,in,out,,,,
Z,blue,static,None,n,n,0,in,out,red,anti,ccw,w,n,0,in,out,,,,
Z,blue,static,None,w,w,0,in,out,red,anti,ccw,s,w,0,in,out,,,,
Z,blue,anti,ccw,w,n,0,in,out,red,static,None,n,n,0,in,out,,,,
Z,blue,static,None,s,s,0,in,out,red,anti,ccw,e,s,0,in,out,,,,
Z,blue,anti,cw,n,w,0,in,out,red,static,None,w,w,0,in,out,,,,
Z,blue,anti,ccw,n,e,0,in,out,red,static,None,e,e,0,in,out,,,,
Z,blue,anti,cw,e,n,0,in,out,red,static,None,n,n,0,in,out,,,,
Z,blue,anti,cw,w,s,0,in,out,red,static,None,s,s,0,in,out,,,,
Z,blue,anti,ccw,s,w,0,in,out,red,static,None,w,w,0,in,out,,,,
Γ,blue,static,None,n,n,0,in,out,red,static,None,e,e,0,in,out,,,,
Γ,blue,static,None,e,e,0,in,out,red,static,None,n,n,0,in,out,,,,
Γ,blue,static,None,s,s,0,in,out,red,static,None,e,e,0,in,out,,,,
Γ,blue,static,None,s,s,0,in,out,red,static,None,w,w,0,in,out,,,,
Γ,blue,static,None,e,e,0,in,out,red,static,None,s,s,0,in,out,,,,
Γ,blue,static,None,w,w,0,in,out,red,static,None,n,n,0,in,out,,,,
Γ,blue,static,None,n,n,0,in,out,red,static,None,w,w,0,in,out,,,,
Γ,blue,static,None,w,w,0,in,out,red,static,None,s,s,0,in,out,,,,
Δ,blue,static,None,e,e,0,in,out,red,anti,cw,w,s,0,in,out,,,,
Δ,blue,anti,ccw,n,e,0,in,out,red,static,None,s,s,0,in,out,,,,
Δ,blue,anti,ccw,s,w,0,in,out,red,static,None,n,n,0,in,out,,,,
Δ,blue,anti,ccw,e,s,0,in,out,red,static,None,w,w,0,in,out,,,,
Δ,blue,anti,cw,n,w,0,in,out,red,static,None,s,s,0,in,out,,,,
Δ,blue,static,None,s,s,0,in,out,red,anti,cw,n,w,0,in,out,,,,
Δ,blue,anti,cw,w,s,0,in,out,red,static,None,e,e,0,in,out,,,,
Δ,blue,anti,cw,s,e,0,in,out,red,static,None,n,n,0,in,out,,,,
Δ,blue,anti,ccw,w,n,0,in,out,red,static,None,e,e,0,in,out,,,,
Δ,blue,static,None,n,n,0,in,out,red,anti,ccw,s,w,0,in,out,,,,
Δ,blue,static,None,n,n,0,in,out,red,anti,cw,s,e,0,in,out,,,,
Δ,blue,static,None,e,e,0,in,out,red,anti,ccw,w,n,0,in,out,,,,
Δ,blue,static,None,w,w,0,in,out,red,anti,cw,e,n,0,in,out,,,,
Δ,blue,static,None,s,s,0,in,out,red,anti,ccw,n,e,0,in,out,,,,
Δ,blue,static,None,w,w,0,in,out,red,anti,ccw,e,s,0,in,out,,,,
Δ,blue,anti,cw,e,n,0,in,out,red,static,None,w,w,0,in,out,,,,
Σ,blue,pro,cw,w,n,0,in,out,red,static,None,e,e,0,in,out,,,,
Σ,blue,static,None,n,n,0,in,out,red,pro,ccw,s,e,0,in,out,,,,
Σ,blue,static,None,e,e,0,in,out,red,pro,ccw,w,s,0,in,out,,,,
Σ,blue,pro,cw,s,w,0,in,out,red,static,None,n,n,0,in,out,,,,
Σ,blue,static,None,s,s,0,in,out,red,pro,ccw,n,w,0,in,out,,,,
Σ,blue,static,None,w,w,0,in,out,red,pro,ccw,e,n,0,in,out,,,,
Σ,blue,pro,cw,e,s,0,in,out,red,static,None,w,w,0,in,out,,,,
Σ,blue,pro,ccw,n,w,0,in,out,red,static,None,s,s,0,in,out,,,,
Σ,blue,static,None,w,w,0,in,out,red,pro,cw,e,s,0,in,out,,,,
Σ,blue,static,None,s,s,0,in,out,red,pro,cw,n,e,0,in,out,,,,
Σ,blue,static,None,e,e,0,in,out,red,pro,cw,w,n,0,in,out,,,,
Σ,blue,static,None,n,n,0,in,out,red,pro,cw,s,w,0,in,out,,,,
Σ,blue,pro,ccw,e,n,0,in,out,red,static,None,w,w,0,in,out,,,,
Σ,blue,pro,ccw,s,e,0,in,out,red,static,None,n,n,0,in,out,,,,
Σ,blue,pro,cw,n,e,0,in,out,red,static,None,s,s,0,in,out,,,,
Σ,blue,pro,ccw,w,s,0,in,out,red,static,None,e,e,0,in,out,,,,
Ω,blue,anti,cw,e,n,0,in,out,red,static,None,e,e,0,in,out,,,,
Ω,blue,anti,cw,s,e,0,in,out,red,static,None,s,s,0,in,out,,,,
Ω,blue,anti,ccw,n,e,0,in,out,red,static,None,n,n,0,in,out,,,,
Ω,blue,anti,ccw,s,w,0,in,out,red,static,None,s,s,0,in,out,,,,
Ω,blue,anti,ccw,e,s,0,in,out,red,static,None,e,e,0,in,out,,,,
Ω,blue,anti,cw,n,w,0,in,out,red,static,None,n,n,0,in,out,,,,
Ω,blue,anti,ccw,w,n,0,in,out,red,static,None,w,w,0,in,out,,,,
Ω,blue,anti,cw,w,s,0,in,out,red,static,None,w,w,0,in,out,,,,
Ω,blue,static,None,s,s,0,in,out,red,anti,ccw,s,w,0,in,out,,,,
Ω,blue,static,None,n,n,0,in,out,red,anti,ccw,n,e,0,in,out,,,,
Ω,blue,static,None,w,w,0,in,out,red,anti,cw,w,s,0,in,out,,,,
Ω,blue,static,None,n,n,0,in,out,red,anti,cw,n,w,0,in,out,,,,
Ω,blue,static,None,e,e,0,in,out,red,anti,cw,e,n,0,in,out,,,,
Ω,blue,static,None,e,e,0,in,out,red,anti,ccw,e,s,0,in,out,,,,
Ω,blue,static,None,w,w,0,in,out,red,anti,ccw,w,n,0,in,out,,,,
Ω,blue,static,None,s,s,0,in,out,red,anti,cw,s,e,0,in,out,,,,
α,blue,static,None,e,e,0,in,out,red,static,None,w,w,0,in,out,,,,
α,blue,static,None,n,n,0,in,out,red,static,None,s,s,0,in,out,,,,
α,blue,static,None,w,w,0,in,out,red,static,None,e,e,0,in,out,,,,
α,blue,static,None,s,s,0,in,out,red,static,None,n,n,0,in,out,,,,
β,blue,static,None,e,e,0,in,out,red,static,None,e,e,0,in,out,,,,
β,blue,static,None,w,w,0,in,out,red,static,None,w,w,0,in,out,,,,
β,blue,static,None,n,n,0,in,out,red,static,None,n,n,0,in,out,,,,
β,blue,static,None,s,s,0,in,out,red,static,None,s,s,0,in,out,,,,
θ,blue,static,None,w,w,0,in,out,red,pro,ccw,w,s,0,in,out,,,,
θ,blue,pro,ccw,n,w,0,in,out,red,static,None,n,n,0,in,out,,,,
θ,blue,static,None,n,n,0,in,out,red,pro,ccw,n,w,0,in,out,,,,
θ,blue,static,None,n,n,0,in,out,red,pro,cw,n,e,0,in,out,,,,
θ,blue,static,None,e,e,0,in,out,red,pro,ccw,e,n,0,in,out,,,,
θ,blue,pro,ccw,e,n,0,in,out,red,static,None,e,e,0,in,out,,,,
θ,blue,pro,cw,e,s,0,in,out,red,static,None,e,e,0,in,out,,,,
θ,blue,static,None,e,e,0,in,out,red,pro,cw,e,s,0,in,out,,,,
θ,blue,static,None,s,s,0,in,out,red,pro,cw,s,w,0,in,out,,,,
θ,blue,pro,cw,w,n,0,in,out,red,static,None,w,w,0,in,out,,,,
θ,blue,pro,ccw,w,s,0,in,out,red,static,None,w,w,0,in,out,,,,
θ,blue,static,None,s,s,0,in,out,red,pro,ccw,s,e,0,in,out,,,,
θ,blue,pro,cw,n,e,0,in,out,red,static,None,n,n,0,in,out,,,,
θ,blue,pro,cw,s,w,0,in,out,red,static,None,s,s,0,in,out,,,,
θ,blue,static,None,w,w,0,in,out,red,pro,cw,w,n,0,in,out,,,,
θ,blue,pro,ccw,s,e,0,in,out,red,static,None,s,s,0,in,out,,,,
