         955577 function calls (954009 primitive calls) in 28.672 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1855    0.066    0.000    0.067    0.000 {built-in method io.open}
        1    0.000    0.000    0.062    0.062 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\action_buttons_frame.py:14(__init__)
        8    0.061    0.008    0.062    0.008 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\action_buttons_frame.py:78(create_settingsured_button)
        1    0.000    0.000    0.055    0.055 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_buttons.py:74(<lambda>)
     1473    0.012    0.000    0.047    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\xml\etree\ElementTree.py:1325(XML)
     4693    0.006    0.000    0.046    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\enum.py:688(__call__)
       85    0.002    0.000    0.038    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\object_manager\ghost_arrow.py:11(update)
        1    0.000    0.000    0.037    0.037 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox.py:11(__init__)
        1    0.000    0.000    0.037    0.037 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox.py:22(setup_ui)
      124    0.002    0.000    0.036    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\enum.py:841(_create_)
       35    0.036    0.001    0.036    0.001 {built-in method addLayout}
     1473    0.034    0.000    0.035    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
        1    0.000    0.000    0.034    0.034 d:\CODE\Apps\Sequence_Constructor\utilities\layout_manager.py:12(settingsure_layouts)
        1    0.000    0.000    0.029    0.029 d:\CODE\Apps\Sequence_Constructor\utilities\layout_manager.py:47(init_sequence_layout)
      146    0.001    0.000    0.026    0.000 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:186(update_appearance)
     1473    0.001    0.000    0.026    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
       73    0.019    0.000    0.026    0.000 d:\CODE\Apps\Sequence_Constructor\events\drag.py:175(update_rotation)
     1473    0.004    0.000    0.025    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\xml\etree\ElementPath.py:404(find)
     1855    0.021    0.000    0.025    0.000 {method 'read' of '_io.TextIOWrapper' objects}
