
Φ,beta1,alpha1,dash,None,n,s,static,None,n,n
Φ,beta2,alpha2,dash,None,e,w,static,None,e,e
Φ,beta3,alpha3,dash,None,s,n,static,None,s,s
Φ,beta4,alpha4,dash,None,w,e,static,None,w,w

Φ,beta1,alpha3,static,None,n,n,dash,None,n,s
Φ,beta2,alpha4,static,None,e,e,dash,None,e,w
Φ,beta3,alpha1,static,None,s,s,dash,None,s,n
Φ,beta4,alpha2,static,None,w,w,dash,None,w,e

Ψ,alpha1,beta3,static,None,s,s,dash,None,n,s
Ψ,alpha2,beta4,static,None,w,w,dash,None,e,w
Ψ,alpha3,beta1,static,None,n,n,dash,None,s,n
Ψ,alpha4,beta2,static,None,e,e,dash,None,w,e

Ψ,alpha1,beta1,dash,None,s,n,static,None,n,n
Ψ,alpha2,beta2,dash,None,w,e,static,None,e,e
Ψ,alpha3,beta3,dash,None,n,s,static,None,s,s
Ψ,alpha4,beta4,dash,None,e,w,static,None,w,w

Λ,gamma1,gamma5,dash,None,w,e,static,None,n,n
Λ,gamma2,gamma6,dash,None,n,s,static,None,e,e
Λ,gamma3,gamma7,dash,None,e,w,static,None,s,s
Λ,gamma4,gamma8,dash,None,s,n,static,None,w,w

Λ,gamma1,gamma7,static,None,w,w,static,None,n,s
Λ,gamma2,gamma8,static,None,n,n,static,None,e,w
Λ,gamma3,gamma5,static,None,e,e,static,None,s,n
Λ,gamma4,gamma6,static,None,s,s,static,None,w,e

Λ,gamma5,gamma1,dash,None,e,w,static,None,n,n
Λ,gamma6,gamma2,dash,None,s,n,static,None,e,e   
Λ,gamma7,gamma3,dash,None,w,e,static,None,s,s
Λ,gamma8,gamma4,dash,None,n,s,static,None,w,w

Λ,gamma7,gamma1,dash,None,w,w,static,None,s,n
Λ,gamma8,gamma2,dash,None,n,n,static,None,w,e
Λ,gamma5,gamma3,dash,None,e,e,static,None,n,s
Λ,gamma6,gamma4,dash,None,s,s,static,None,e,w


